,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,vc,vwap21,vwap50,vwap100,vwap200,upper,lower,signal
48,48,48,2023-05-03 00:00:00,28669.85000000,28689.35000000,28488.17000000,28503.72,2005.37832,28559.432856167983,28444.477983629957,28480.82779229341,28699.940995330835,28933.607876467926,57160742.127350405,28402.2595895231,28349.4664458155,28563.9199746232,28576.5689445627,28851.655843976772,28198.4752056111,
49,49,49,2023-05-03 01:00:00,28503.71000000,28594.56000000,28489.42000000,28542.06,1372.22488,28556.27415504653,28453.771508998532,28483.22905534073,28696.81463898765,28929.7118776971,39166124.858452804,28414.8641745164,28349.4664458155,28563.9199746232,28576.5689445627,28859.394452322835,28206.21381395716,
50,50,50,2023-05-03 02:00:00,28542.06000000,28543.90000000,28336.30000000,28508.62,1731.62909,28547.609763219887,28458.995174808195,28484.2247786607,28693.088012473043,28925.521908764793,49366355.7077558,28426.8699887182,28336.423547909,28563.9199746232,28576.5689445627,28865.09209020786,28211.91145184219,
51,51,51,2023-05-03 03:00:00,28508.62000000,28538.30000000,28444.13000000,28520.9,945.1496,28542.753442634454,28464.89087244551,28485.66302263479,28689.678348859714,28921.49582012037,26956517.22664,28436.0568060235,28325.9701644056,28563.9199746232,28576.5689445627,28869.093198709994,28215.91256034432,
52,52,52,2023-05-03 04:00:00,28520.89000000,28525.24000000,28428.61000000,28514.99,953.77599,28537.705543973643,28469.66221792689,28486.813100178526,28686.219173634767,28917.450986089323,27196912.8170901,28449.2792386115,28319.2876747112,28563.9199746232,28576.5689445627,28871.79813174871,28218.617493383037,
53,53,53,2023-05-03 05:00:00,28514.99000000,28524.12000000,28452.10000000,28477.19,874.38274,28526.702717796616,28470.3791495529,28486.43572370094,28682.07998207764,28913.07027976008,24899963.4197006,28462.7299085509,28315.9315824144,28563.9199746232,28576.5689445627,28873.651356436876,28220.470718071203,
54,54,54,2023-05-03 06:00:00,28477.20000000,28680.00000000,28427.56000000,28600.02,2073.85163,28540.033132742683,28482.72589721453,28490.890009046,28680.455031937487,28909.955351603265,59312198.0950326,28483.2191201974,28318.3383826502,28563.9199746232,28576.5689445627,28875.129250993108,28221.948612627435,
55,55,55,2023-05-03 07:00:00,28600.02000000,28674.69000000,28582.44000000,28653.8,1406.01574,28560.718017698557,28499.018668908382,28497.278636142237,28679.927209522884,28907.406542134577,40287693.810812004,28497.9482254883,28317.6663810644,28563.9199746232,28576.5689445627,28876.72723506238,28223.546596696706,
56,56,56,2023-05-03 08:00:00,28653.81000000,28767.93000000,28589.00000000,28691.21,1885.69026,28584.443832662455,28517.322605202822,28504.883787666073,28680.15063111649,28905.2553327601,54102735.2446146,28514.1384314554,28319.9836591361,28563.9199746232,28576.5689445627,28878.945851121014,28225.76521275534,
57,57,57,2023-05-03 09:00:00,28691.21000000,28696.78000000,28602.54000000,28665.36,1196.99083,28599.15586308746,28531.421404707315,28511.176972463483,28679.857747332004,28902.868314523683,34312173.0586488,28534.3986811059,28317.2270503724,28563.9199746232,28576.5689445627,28882.27545642945,28229.094818063775,
